Variable,Season,Location,Value,ensemble,machine
pr,JJA,Global,,p003,lumi
pr,JJA,North Midlat,,p003,lumi
pr,JJA,Tropical,,p003,lumi
pr,JJA,South Midlat,,p003,lumi
ta,ALL,Global,11.681,p003,lumi
ta,ALL,North Midlat,16.162,p003,lumi
ta,ALL,Tropical,3.657,p003,lumi
ta,ALL,South Midlat,23.247,p003,lumi
ta,DJF,Global,11.713,p003,lumi
ta,DJF,North Midlat,3.468,p003,lumi
ta,DJF,Tropical,5.094,p003,lumi
ta,DJF,South Midlat,33.196,p003,lumi
ta,JJA,Global,17.849,p003,lumi
ta,JJA,North Midlat,54.903,p003,lumi
ta,JJA,Tropical,5.806,p003,lumi
ta,JJA,South Midlat,4.881,p003,lumi
ua,ALL,Global,3.914,p003,lumi
ua,ALL,North Midlat,3.075,p003,lumi
ua,ALL,Tropical,4.174,p003,lumi
ua,ALL,South Midlat,4.234,p003,lumi
ua,DJF,Global,2.488,p003,lumi
ua,DJF,North Midlat,0.625,p003,lumi
ua,DJF,Tropical,2.955,p003,lumi
ua,DJF,South Midlat,3.414,p003,lumi
ua,JJA,Global,9.286,p003,lumi
ua,JJA,North Midlat,5.439,p003,lumi
ua,JJA,Tropical,15.333,p003,lumi
ua,JJA,South Midlat,1.04,p003,lumi
va,ALL,Global,3.706,p003,lumi
va,ALL,North Midlat,2.079,p003,lumi
va,ALL,Tropical,2.166,p003,lumi
va,ALL,South Midlat,8.414,p003,lumi
va,DJF,Global,2.684,p003,lumi
va,DJF,North Midlat,0.736,p003,lumi
va,DJF,Tropical,3.218,p003,lumi
va,DJF,South Midlat,3.564,p003,lumi
va,JJA,Global,5.215,p003,lumi
va,JJA,North Midlat,3.471,p003,lumi
va,JJA,Tropical,6.566,p003,lumi
va,JJA,South Midlat,4.258,p003,lumi
hus,ALL,Global,3.79,p003,lumi
hus,ALL,North Midlat,3.111,p003,lumi
hus,ALL,Tropical,3.024,p003,lumi
hus,ALL,South Midlat,6.003,p003,lumi
hus,DJF,Global,6.806,p003,lumi
